coin,snapshot height,balance
TRX(ALL),-,107780290.99
TRX,84947615,57780290.99
sTRX,84947615,50000000.00
HTX(ALL),-,1034881184632.99
HTX-TRC20,84947615,1034881184632.99
ETH(ALL),-,252248.61
ETH,25653898,1142.05
stETH,25653898,247794.87
gtWETH,25653898,3116.65
ETH-Arbitrum,489687638,100.05
ETH-Optimism,154957412,94.99
USDT(ALL),-,968078308.92
USDT-TRC20,84947615,3862986.32
jUSDT-TRC20,84947615,1421629.43
USDT-ERC20,25653898,23069275.69
USDT-spUSDT,25653898,0.00
USDT-aEthUSDT,25653898,27106516.66
USDT-SUSDS,25653898,912617900.82
SOL(All),-,62247.35
SOL,436386785,62247.35
XRP(All),-,53408447.45
XRP,105979279,53408447.45
XLM(All),-,113516831.82
XLM,63735903,113516831.82
SHIB(All),-,381232094570.39
SHIB-ERC20,25653898,381232094570.39
ETC(All),-,567968.23
ETC,25057173,567968.23
ADA(All),-,8911600.28
ADA,13747710,8911600.28
DOGE(All),-,323210395.42
DOGE,6312766,323105672.28
DOGE-TRC20,84947615,104723.14
LTC(All),-,143400.51
LTC,3151874,143400.51
BCH(All),-,19622.08
BCH,957591,19622.08
BTC(ALL),-,12616.62
BTC,960428,10863.78
BTC-TRC20,84947615,28.14
BTC-ERC20,25653898,1724.70

coin,address,snapshot height,balance,message,signature
USDT-TRC20,TVNPqyt6h3DV3Pd8N5PmskC96vtbAp863B,-,-,poloniex,0x261a326e9b852c26ccfd18c86f9f0438cf30440db61fc1c7bb6ea5509fc91e5038afa312ac6d1c2367a1e7bb6cf107a763260c742dc1b35b8d6e60068792cbf100
USDT-TRC20,TSmgqvsfx95ZpjFRGA2eHhzUFHDhGVzusq,-,-,poloniex,0x08092b5c5db62fecaae072d300aff11529d0408def450655d120b1f5be31dda22320ed6107605ff57a20057d4b163a9cd48ab323e793ee44d23993bc50f8631a01
USDT-TRC20,TV7WmJXhYyd4rqRjbWg62eX8e5DoPbyiA3,-,-,poloniex,0x5123db01836135eb1027db09373bede1846a0b35c261bf04cc24ee579cd7115a12187a4e2d810ef40dae526996c8df5e1c7a1b846538e2717d6e77ca698bfcb201
jUSDT-TRC20,TUgSgCQL6pMSy9zByn4sgxqrJa95sZExBG,84947615,1417755.34,poloniex,0xe5bd96c946bc4af68721f7d9420cbbd10ab97fbcb7f8d5f24a2f5b98a503404007818c567aadcf407a99cc0ce3d14c4defca7e841a4eacb76e5851f9ca2d360800
ETH,0x8fca4ade3a517133ff23ca55cdaea29c78c990b8,25653898,65.08,poloniex,9b0b0066272d7312ba8f973c10a6f29aa46e33c084382ae5c87acb27b2fac9516a6cf3d74c20bc5bbc694a6c99d5efe243384420f0be45f1f531504c3a16afca1c
ETH,0x176f3dab24a159341c0509bb36b833e7fdd0a132,25653898,10.00,Poloniex,76a07f20d9da06fa9c200917dcbf86b782c24e5bd6b24f81734c240154a50ba20f48e1c41a3d6f600abf200f2549192e234f5d567f4f76c5401eef80d0707bf21b
ETH,0x29065a4c1f2f20d1e263930088890d6f49fe715a,25653898,1066.97,poloniex,03b855185b88b39370f92441d89fd43d10babc866b80bd43c1ba166f5973fa9d007efdd508731ae978aa902a6ad6352f371c0353b20bc6709daa0e682a6f12ff01
ETH,0x6Ffb9a8c6E96307C647d9869673200fFbd380EC7,-,-,poloniex,0x1062e9bf7941feedf9aaf08616caf1b5f73478fd5c61a1e1aae6c22fc611c59a13a6d5f789b9bf3a7306ec8aaa87af1205f83efce11777a45179742686fbdee81b
ETH,0xc4cA8bBa7A665f03B4363F4133e7A5B00DeC0BBA,-,-,poloniex,0xab76785bdf9f265258ac387c6ababb092aea16b8585e333cfcc07df6ae4f99607d64db5b576165b4c095a1e656bfb7b29b12dccd10b61714387fbad1e441f6851b
ETH,0x8FFBa55Dc041675cbf8e5d5a0BA08Df5Dc3AC6dA,-,-,poloniex,0x553f418034d83e388e07c8a554390f4e47499b2e2efc361492130bfaa80ccb8c53f7eaa2bb434dc9c6ad61c0ce0b2ff1f61d8a906c7fe29943731113ccb6c97c1b
